Workout_ID,Date,Exercise_ID,Sets,Repetitions,Lowest_Weight,Highest_Weight,Time_Spent_mins,Week_ID,Comments
0,1/3/2023,10002,3,5,275,295,45,100001,"feel a left side tweak, possibly let go of breathe too soon during mid lift"
1,1/3/2023,10011,3,8,50,60,10,100001,50-55-60
2,1/3/2023,10012,3,8,40,40,10,100001,40-40-40
3,1/3/2023,10013,3,8,76,120,10,100001,76-120-76
4,1/5/2023,10003,3,5,225,225,30,100001,"(5 5 4) squat all way down for stretch reflex, Last set left some in the tank"
5,1/5/2023,10004,3,5,135,185,20,100001,"setup, make sure to squeeze elbows before descent and drive from heel"
6,1/5/2023,10007,3,5,345,345,20,100001,
7,1/5/2023,10008,3,8,55,55,10,100001,
8,1/6/2023,10000,3,5,115,125,0,100001,skipped
9,1/6/2023,10001,3,5,275,295,0,100001,skipped
10,1/6/2023,10005,3,8,75,75,0,100001,skipped
11,1/6/2023,10006,3,8,110,125,0,100001,skipped
12,1/10/2023,10002,3,5,305,305,0,100002,skipped
13,1/10/2023,10011,3,8,50,50,0,100002,skipped
14,1/10/2023,10012,3,8,40,45,0,100002,skipped
15,1/10/2023,10013,3,8,120,120,0,100002,skipped
16,1/11/2023,10003,3,5,225,225,20,100002,
17,1/11/2023,10004,3,5,185,190,20,100002,
18,1/11/2023,10010,3,8,100,100,10,100002,
19,1/11/2023,10009,3,8,50,50,10,100002,
20,1/13/2023,10000,3,5,115,125,20,100002,
21,1/13/2023,10001,3,5,295,295,45,100002,
22,1/13/2023,10005,3,8,75,75,10,100002,
23,1/13/2023,10006,3,8,110,125,10,100002,
24,1/17/2023,10002,3,5,305,305,45,100003,"deep breath, make sure to control descent. Make sure elbows tucked and pulling slack before pushing. Slight left tweak again, may be from placing heavy weight on rack,, "
25,1/17/2023,10011,3,8,50,50,10,100003,
26,1/17/2023,10012,3,8,40,45,10,100003,
27,1/17/2023,10013,3,8,120,120,10,100003,
28,1/20/2023,10003,3,5,225,225,30,100003,
