Exercise_ID,Name,Type,Category,,,,
10000,Overhead Press,Barbell,Arms,,,,
10001,Sumo Deadlift,Barbell,Legs,,,,
10002,Conventional Deadlift,Barbell,Legs,,,,
10003,Squat,Barbell,Legs,,,,
10004,Bench Press,Barbell,Chest,,,,
10005,Dumbbell Row,Accessory,Back,,,,
10006,Lateral Pull Down,Accessory,Back,,,,
10007,Shoulder Shrug,Accessory,Back,,,,
10008,Flat Dumbbell,Accessory,Chest,,,,
10009,Incline Dumbbell,Accessory,Chest,,,,
10010,Leg Curl,Accessory,Legs,,,,
10011,Dumbbell Shoulder,Accessory,Arms,,,,
10012,Dumbbell Curl,Accessory,Arms,,,,
10013,Tricep Pull Down,Accessory,Arms,,,,
10014,Pull Back Machine,Accessory,Back,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
