Week ID,Start Date,End Date,,,,,
100001,1/1/23,1/7/23,,,,,
100002,1/8/23,1/14/23,,,,,
100003,1/15/23,1/21/23,,,,,
100004,1/22/23,1/28/23,,,,,
100005,1/29/23,2/4/23,,,,,
100006,2/5/23,2/11/23,,,,,
100007,2/12/23,2/18/23,,,,,
100008,2/19/23,2/25/23,,,,,
100009,2/26/23,3/4/23,,,,,
100010,3/5/23,3/11/23,,,,,
100011,3/12/23,3/18/23,,,,,
100012,3/19/23,3/25/23,,,,,
100013,3/26/23,4/1/23,,,,,
100014,4/2/23,4/8/23,,,,,
100015,4/9/23,4/15/23,,,,,
100016,4/16/23,4/22/23,,,,,
100017,4/23/23,4/29/23,,,,,
100018,4/30/23,5/6/23,,,,,
100019,5/7/23,5/13/23,,,,,
100020,5/14/23,5/20/23,,,,,
100021,5/21/23,5/27/23,,,,,
100022,5/28/23,6/3/23,,,,,
100023,6/4/23,6/10/23,,,,,
100024,6/11/23,6/17/23,,,,,
100025,6/18/23,6/24/23,,,,,
100026,6/25/23,7/1/23,,,,,
100027,7/2/23,7/8/23,,,,,
100028,7/9/23,7/15/23,,,,,
100029,7/16/23,7/22/23,,,,,
100030,7/23/23,7/29/23,,,,,
100031,7/30/23,8/5/23,,,,,
100032,8/6/23,8/12/23,,,,,
100033,8/13/23,8/19/23,,,,,
100034,8/20/23,8/26/23,,,,,
100035,8/27/23,9/2/23,,,,,
100036,9/3/23,9/9/23,,,,,
100037,9/10/23,9/16/23,,,,,
100038,9/17/23,9/23/23,,,,,
100039,9/24/23,9/30/23,,,,,
100040,10/1/23,10/7/23,,,,,
100041,10/8/23,10/14/23,,,,,
100042,10/15/23,10/21/23,,,,,
100043,10/22/23,10/28/23,,,,,
100044,10/29/23,11/4/23,,,,,
100045,11/5/23,11/11/23,,,,,
100046,11/12/23,11/18/23,,,,,
100047,11/19/23,11/25/23,,,,,
100048,11/26/23,12/2/23,,,,,
100049,12/3/23,12/9/23,,,,,
100050,12/10/23,12/16/23,,,,,
100051,12/17/23,12/23/23,,,,,
100052,12/24/23,12/30/23,,,,,
